symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TWTR,2017-05-22 00:00:00+00:00,18.43,18.52,18.27,18.35,11279284,18.43,18.52,18.27,18.35,11279284,0.0,1.0
TWTR,2017-05-23 00:00:00+00:00,18.15,18.51,17.98,18.41,16797183,18.15,18.51,17.98,18.41,16797183,0.0,1.0
TWTR,2017-05-24 00:00:00+00:00,17.98,18.34,17.83,18.1,15459917,17.98,18.34,17.83,18.1,15459917,0.0,1.0
TWTR,2017-05-25 00:00:00+00:00,17.95,18.27,17.94,18.04,9539766,17.95,18.27,17.94,18.04,9539766,0.0,1.0
TWTR,2017-05-26 00:00:00+00:00,18.23,18.3,17.95,17.99,10421985,18.23,18.3,17.95,17.99,10421985,0.0,1.0
TWTR,2017-05-30 00:00:00+00:00,18.43,18.72,18.18,18.21,18182979,18.43,18.72,18.18,18.21,18182979,0.0,1.0
TWTR,2017-05-31 00:00:00+00:00,18.32,18.6,18.08,18.48,17259374,18.32,18.6,18.08,18.48,17259374,0.0,1.0
TWTR,2017-06-01 00:00:00+00:00,18.53,18.66,18.2,18.22,13157802,18.53,18.66,18.2,18.22,13157802,0.0,1.0
TWTR,2017-06-02 00:00:00+00:00,18.31,18.58,18.22,18.53,9367631,18.31,18.58,18.22,18.53,9367631,0.0,1.0
TWTR,2017-06-05 00:00:00+00:00,18.23,18.34,18.02,18.29,10536991,18.23,18.34,18.02,18.29,10536991,0.0,1.0
TWTR,2017-06-06 00:00:00+00:00,17.57,18.15,17.47,18.1,22742960,17.57,18.15,17.47,18.1,22742960,0.0,1.0
TWTR,2017-06-07 00:00:00+00:00,17.44,17.75,17.3,17.62,15839137,17.44,17.75,17.3,17.62,15839137,0.0,1.0
TWTR,2017-06-08 00:00:00+00:00,17.59,17.61,17.27,17.44,10528981,17.59,17.61,17.27,17.44,10528981,0.0,1.0
TWTR,2017-06-09 00:00:00+00:00,16.9,17.66,16.45,17.65,21248699,16.9,17.66,16.45,17.65,21248699,0.0,1.0
TWTR,2017-06-12 00:00:00+00:00,17.04,17.04,16.27,16.73,20486085,17.04,17.04,16.27,16.73,20486085,0.0,1.0
TWTR,2017-06-13 00:00:00+00:00,16.97,17.22,16.76,17.12,13214278,16.97,17.22,16.76,17.12,13214278,0.0,1.0
TWTR,2017-06-14 00:00:00+00:00,16.76,17.13,16.57,17.05,12606139,16.76,17.13,16.57,17.05,12606139,0.0,1.0
TWTR,2017-06-15 00:00:00+00:00,16.83,16.89,16.46,16.53,11869318,16.83,16.89,16.46,16.53,11869318,0.0,1.0
TWTR,2017-06-16 00:00:00+00:00,16.67,16.81,16.55,16.75,9916410,16.67,16.81,16.55,16.75,9916410,0.0,1.0
TWTR,2017-06-19 00:00:00+00:00,17.06,17.08,16.75,16.77,11299944,17.06,17.08,16.75,16.77,11299944,0.0,1.0
TWTR,2017-06-20 00:00:00+00:00,16.91,17.15,16.84,17.15,8502171,16.91,17.15,16.84,17.15,8502171,0.0,1.0
TWTR,2017-06-21 00:00:00+00:00,17.78,18.04,17.11,17.11,23609888,17.78,18.04,17.11,17.11,23609888,0.0,1.0
TWTR,2017-06-22 00:00:00+00:00,18.15,18.38,17.66,17.85,20679559,18.15,18.38,17.66,17.85,20679559,0.0,1.0
TWTR,2017-06-23 00:00:00+00:00,18.5,18.63,18.15,18.15,19530855,18.5,18.63,18.15,18.15,19530855,0.0,1.0
TWTR,2017-06-26 00:00:00+00:00,18.29,19.01,18.11,18.55,17387714,18.29,19.01,18.11,18.55,17387714,0.0,1.0
TWTR,2017-06-27 00:00:00+00:00,18.12,18.6,18.12,18.43,14707738,18.12,18.6,18.12,18.43,14707738,0.0,1.0
TWTR,2017-06-28 00:00:00+00:00,17.95,18.24,17.75,18.22,17335023,17.95,18.24,17.75,18.22,17335023,0.0,1.0
TWTR,2017-06-29 00:00:00+00:00,17.65,17.94,17.23,17.93,17665322,17.65,17.94,17.23,17.93,17665322,0.0,1.0
TWTR,2017-06-30 00:00:00+00:00,17.87,18.08,17.47,17.66,13357270,17.87,18.08,17.47,17.66,13357270,0.0,1.0
TWTR,2017-07-03 00:00:00+00:00,17.65,18.01,17.41,17.94,9040399,17.65,18.01,17.41,17.94,9040399,0.0,1.0
TWTR,2017-07-05 00:00:00+00:00,17.82,17.96,17.42,17.68,8809615,17.82,17.96,17.42,17.68,8809615,0.0,1.0
TWTR,2017-07-06 00:00:00+00:00,17.92,18.58,17.63,17.65,18579760,17.92,18.58,17.63,17.65,18579760,0.0,1.0
TWTR,2017-07-07 00:00:00+00:00,18.02,18.34,17.97,18.0,13417876,18.02,18.34,17.97,18.0,13417876,0.0,1.0
TWTR,2017-07-10 00:00:00+00:00,18.08,18.15,17.77,18.05,8560072,18.08,18.15,17.77,18.05,8560072,0.0,1.0
TWTR,2017-07-11 00:00:00+00:00,18.64,18.66,18.1,18.14,17721249,18.64,18.66,18.1,18.14,17721249,0.0,1.0
TWTR,2017-07-12 00:00:00+00:00,19.25,19.54,18.91,18.92,30008052,19.25,19.54,18.91,18.92,30008052,0.0,1.0
TWTR,2017-07-13 00:00:00+00:00,19.32,19.67,19.08,19.54,17491332,19.32,19.67,19.08,19.54,17491332,0.0,1.0
TWTR,2017-07-14 00:00:00+00:00,19.64,19.97,19.33,19.35,20786187,19.64,19.97,19.33,19.35,20786187,0.0,1.0
TWTR,2017-07-17 00:00:00+00:00,19.94,20.24,19.73,19.8,24029793,19.94,20.24,19.73,19.8,24029793,0.0,1.0
